name,blurb,goal,pledged,usd_pledged,backers_count,country,currency,created_at,launched_at,deadline,staff_pick,spotlight,creator,is_starrable,state,category,is_liked,is_disliked,url,campaign_day_length
Architects of the Deep: Kingdom of Death,5e Dungeon Crawl/Campaign where your journey begins only after all your players are dead!,3000.0,22295.0,22295.0,521,US,USD,2021-04-01,2021-06-22,2021-07-13,False,True,Dren Productions Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/drenproductionsgames/architects-of-the-deep-kingdom-of-death,21
GnomeWorks Wooden Dice Box,"Four Set Dice Holder, HP Tracker, Spell Tracker and Rolling Tray in a wooden box for D&D 5e or Tabletop RPG games. Six wood choices!",5000.0,22197.0,22197.0,200,US,USD,2017-08-12,2017-10-16,2017-11-17,False,True,Gnomeworks,False,successful,Gaming Hardware,False,False,https://www.kickstarter.com/projects/854302183/gnomeworks-wooden-dice-box,32
HELLSCAPES: Post Apocalyptic Survival for DnD 5e,"HELLSCAPES provides all the tools you need to play post apocalyptic survival games using the latest, lightest edition of D&D.",5000.0,22163.0,22163.0,419,US,USD,2017-05-18,2017-07-01,2017-08-01,False,True,"Scrivened, LLC",False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/235742298/hellscapes-post-apocalyptic-survival-for-dnd-5e,31
Jungle Tomb of the Mummy Bride Compatible for DCC & 5E,Available for both Dungeon Crawl Classics and 5th Edition! Dare your characters explore the fabled tomb of the accursed Mummy Bride?,2000.0,22091.0,22091.0,702,US,USD,2021-04-20,2021-05-25,2021-06-15,False,True,Levi Combs,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/planetxgames/jungle-tomb-of-the-mummy-bride-for-dcc,21
ZEITGEIST: Death of the Author -- An Adventure For D&D 5E,Murder. Conspiracy. Secrets. A remote manor. An adventure for D&D 5E.,500.0,15845.0,21796.9071033,545,GB,GBP,2021-07-07,2021-07-20,2021-08-03,False,True,Morrus,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/enworld/zeitgeist-death-of-the-author-for-dandd-5e,14
World of Alessia Campaign Primer for 5e D&D & Starfinder,"The World of Alessia Campaign Primer: 
Discover new species, classes, spells, and items with this brand new world!",15000.0,21609.0,21609.0,403,US,USD,2018-04-22,2018-05-12,2018-06-11,False,True,Jaye Sonia,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/stormbunny/world-of-alessia-campaign-primer-for-5e-dandd-and,30
"Call to Adventure: Metal Coins, Condition Tokens, & Counters",Real Metal Hero Coins for all 12 Classes in 5e along with Metal Condition and Counter Tokens - good for any tabletop role playing game!,10000.0,21598.0,21598.0,516,US,USD,2020-08-24,2020-09-11,2020-10-12,False,True,Ralph Levi Clark,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/sessionzero/call-to-adventure-metal-coins-condition-tokens-and-counters,31
The Faerie Ring for Pathfinder Roleplaying Game and 5E,"The Faerie Ring expands your fey options for RPG players and GMs. Now, you can easily meddle where you probably shouldn't!",20000.0,21503.0,21503.0,315,US,USD,2015-11-29,2015-11-30,2015-12-30,False,True,Scott Gable,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/1557256029/the-faerie-ring-for-pathfinder-roleplaying-game,30
Hexplorer: Magnetic Dungeon Tiles for 5e and Other TTRPGs,Mix-and-Match Dungeon Tiles to Create Whiteboard Dungeons for 5e and Other Tabletop RPGs,3000.0,21453.0,21453.0,263,US,USD,2020-08-30,2021-02-02,2021-03-04,False,True,Headless Hydra Press,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/shanecollins/hexplorer-magnetic-dungeon-tiles-for-5e-and-other-ttrpgs,30
Gods and Goddesses: Redux,A revised and expanded edition of our first 5e supplement. Already have it? All expansions are available as a stand-alone.,8000.0,21399.0,21399.0,653,US,USD,2018-10-08,2019-07-01,2019-07-19,False,True,Jetpack7,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/782735675/gods-and-goddesses-redux,18
Over the Next Hill 2: 6 Plug-In Settlements for your 5E Game,6 more settlements which can be inserted into your 5th Edition game!,500.0,15362.0,21306.04585074,704,GB,GBP,2021-08-02,2021-08-10,2021-08-24,False,True,Morrus,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/enworld/over-the-next-hill-2-6-plug-in-settlements-for-your-5e-game,14
The Folio: Storyteller's Arcana 1E & 5E gaming supplement,1E & 5E Gaming Supplement for DMs and Players in the tradition of the old orange spine Arcana,10000.0,20844.0,20844.0,308,US,USD,2017-09-20,2017-09-21,2017-10-11,False,True,Scott Taylor,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/563681582/the-folio-storytellers-arcana-1e-and-5e-gaming-sup,20
Creatures & Monsters: role-playing miniatures and adventures,"A set of 32mm Resin Creatures and Monsters plus a 190mm Dragon.
-Misfortune Hill: 5E Adventure.
-Ulgralath´s Seal: 5E Adventure.",3995.0,18528.31,19942.942762838,380,ES,EUR,2020-02-20,2020-03-23,2020-04-01,False,True,Juegorama,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/juegorama/monsters-and-creatures-role-playing-miniatures-and-adventures,9
Book of Bounty and Treasure Hunts for 5E,Printed book of 20 adventures compatible with fifth edition!,1000.0,14655.0,20034.5597448,631,GB,GBP,2021-01-10,2021-01-29,2021-02-28,False,True,Jason DM,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/jasondm/book-of-bounty-and-treasure-hunts-for-5e,30
Empyrean Investigations: Detective Adventures for D&D 5E,"A set of three devious mysteries to test your skills of investigation and deduction, designed for use with Dungeons and Dragons 5E!",1000.0,20150.0,20150.0,676,US,USD,2019-07-29,2019-10-22,2019-11-21,True,True,Richard Malena-Webber,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/rmalena/empyrean-investigations,30
Galder's Gazetteer: A 5e Expansion,RPG tools for advanced players and GMs || Supports youth cancer research,8000.0,20090.2,20090.2,637,US,USD,2019-10-10,2019-11-19,2019-12-20,False,True,Zipperon Disney,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/zipperondisney/galders-gazetteer-a-5e-expansion,31
Total Party Kill Bestiary: 5E Monsters for Veteran Heroes,A panoply of uniquely dangerous monsters to challenge veteran heroes in the 5th Edition of the world's greatest roleplaying game.,15650.0,19776.0,19776.0,510,US,USD,2018-02-19,2018-03-01,2018-04-01,False,True,2CGaming,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/2cgaming/total-party-kill-bestiary-5e-monsters-for-veteran,31
Apocalypse the Risen RPG (5E / 5th Edition & Pathfinder),Battle undead and demonic horrors ravaging post-apocalyptic Earth 25 years after the Rise. DnD Fifth Edition (5E) & Pathfinder RPG.,10000.0,19447.0,19447.0,230,US,USD,2016-11-25,2017-03-30,2017-04-28,False,True,Rusted Portal Games,False,successful,Tabletop Games,False,False,https://www.kickstarter.com/projects/rustedportal/apocalypse-the-risen-rpg-5th-edition-and-pathfinde,29
